Thread ID: 7114880
Total: 2.600000

 %self     total     self     wait    child    calls  name
  6.92      0.18     0.18     0.00     0.00    20001  String#gsub
  6.15      0.47     0.16     0.00     0.31    38000  Erector::Output#<<
  3.85      0.39     0.10     0.00     0.29    15000  Erector::HTML#close_tag
  3.85      0.10     0.10     0.00     0.00    98000  Erector::AbstractWidget#output
  3.85      0.53     0.10     0.00     0.43    21000  Erector::HTML#h
  3.85      0.22     0.10     0.00     0.12    38000  Erector::Output#append
  3.85      0.10     0.10     0.00     0.00    96003  Kernel#is_a?
  3.46      0.54     0.09     0.00     0.45    13008  Array#each
  3.46      1.24     0.09     0.00     1.15    15000  Erector::HTML#open_tag
  3.46      0.23     0.09     0.00     0.14    59003  Class#new
  3.08      0.08     0.08     0.00     0.00    52002  <Class::String>#allocate
  2.69      0.09     0.07     0.00     0.02    31000  Erector::HTML#newliney?
  2.69      0.29     0.07     0.00     0.22    51000  Erector::HTML#raw
  2.31      0.06     0.06     0.00     0.00    38000  Erector::Output#append_indentation
  2.31      0.10     0.06     0.00     0.04    13002  Hash#each
  1.92      0.05     0.05     0.00     0.00    65002  String#to_s
  1.92      0.05     0.05     0.00     0.00    18000  Hash#[]=
  1.92      0.05     0.05     0.00     0.00    26002  Symbol#to_s
  1.92      1.58     0.05     0.00     1.53     6000  Isy::Widget::Component::CallBack#flush!
  1.54      1.66     0.04     0.00     1.62    18000  Proc#call(d2)
  1.54      0.06     0.04     0.00     0.02     7000  Array#sort
  1.54      0.50     0.04     0.00     0.46     7000  Erector::HTML#format_sorted
  1.54      0.71     0.04     0.00     0.67    16000  Erector::HTML#format_attributes
  1.54      1.16     0.04     0.00     1.12     6000  Erector::HTML#__element__(d3)
  1.54      1.20     0.04     0.00     1.16     6000  Erector::Widget#a
  1.15      2.15     0.03     0.00     2.12     7000  Proc#call(d1)
  1.15      0.21     0.03     0.00     0.18    20000  <Class::CGI>#escapeHTML
